;acurácia;precisao;recall;f1 score;erro;horario
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-10-31 23:32:29.795030
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-10-31 23:38:03.041243
dt;0.8134920634920635;0.8240655906852916;0.8134920634920635;0.8201915255990185;0.27038670713969515;2017-10-31 23:38:49.212435
rf;0.85685828116107;0.8640867964743677;0.85685828116107;0.861016406737657;0.18055555555555555;2017-10-31 23:40:56.159148
rl;0.8489059634477961;0.8537136729771498;0.8489059634477961;0.8512966245531554;0.2047840384493771;2017-10-31 23:43:51.115427
cm;0.864810598874344;0.8660349449593395;0.864810598874344;0.8654223126505937;0.1829112122936824;2017-10-31 23:52:45.501599
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-01 08:47:17.496356
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-01 08:53:11.188883
dt;0.7976190476190477;0.8238825779751987;0.7976190476190477;0.8091843232275517;0.2589641434262948;2017-11-01 08:53:59.750494
rf;0.8508900904319231;0.8559046208632525;0.8508900904319231;0.8533897777588033;0.2222222222222222;2017-11-01 08:56:14.993187
rl;0.8489059634477961;0.8537136729771498;0.8489059634477961;0.8512966245531554;0.2047840384493771;2017-11-01 08:59:54.205179
cm;0.8670634920634921;0.8678873398774715;0.8670634920634921;0.8674751027239278;0.18055555555555555;2017-11-01 09:09:15.708967
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-01 09:18:31.605622
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-01 09:24:05.884966
dt;0.787263643837349;0.8135141469813809;0.787263643837349;0.7981204836435632;0.30816416872193764;2017-11-01 09:24:23.899975
rf;0.8449377094795422;0.8525449534265157;0.8449377094795422;0.8476908569826387;0.1984126984126984;2017-11-01 09:26:31.129486
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-01 09:28:03.218797
cm;0.8688025675077469;0.8709827076309278;0.8688025675077469;0.8698910188460272;0.1729589578195156;2017-11-01 09:35:51.726917
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-01 09:47:25.902438
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-01 09:58:32.029602
dt;0.8170966925947005;0.8292447707047985;0.8170966925947005;0.8239513122688662;0.27689243027888444;2017-11-01 09:58:52.433101
rf;0.8531746031746031;0.8539949311472792;0.8531746031746031;0.8535836843915185;0.21670461013090495;2017-11-01 10:01:12.642096
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-01 10:02:45.129635
cm;0.8665338645418327;0.8678009425506912;0.8665338645418327;0.8671665090675693;0.17095902105862265;2017-11-01 10:14:25.756739
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-01 10:50:42.268740
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-01 11:01:54.949899
dt;0.8007968127490039;0.8274360306752058;0.8007968127490039;0.8158242839855593;0.2837301587301587;2017-11-01 11:02:13.033341
rf;0.85685828116107;0.8623494560335432;0.85685828116107;0.8599449477580223;0.20677607032188705;2017-11-01 11:04:23.910832
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-01 11:05:57.074905
cm;0.8685258964143426;0.8694450676650103;0.8685258964143426;0.8689852352730809;0.1809033706444065;2017-11-01 11:17:48.053485
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-01 11:49:15.850197
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-01 11:57:12.884604
dt;0.7996031746031746;0.8114164904055368;0.7996031746031746;0.8073393953849879;0.286291342566243;2017-11-01 11:57:26.583151
rf;0.8531746031746031;0.8622756105396554;0.8531746031746031;0.8567580899586726;0.19483178397521028;2017-11-01 11:58:58.534005
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-01 12:00:31.091258
cm;0.8705179282868526;0.8720256648745057;0.8705179282868526;0.8712711396415818;0.18055555555555555;2017-11-01 12:11:47.112007
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-15 05:59:20.675958
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-15 06:07:17.701110
dt;0.7976190476190477;0.8291250969040889;0.7976190476190477;0.8159484336766054;0.27182539682539686;2017-11-15 06:07:31.395486
rf;0.8449456143679251;0.8541910133831481;0.8449456143679251;0.8495257357747399;0.21670461013090495;2017-11-15 06:09:03.674844
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-15 06:10:37.644593
cm;0.8745019920318725;0.8756915149296236;0.8745019920318725;0.8750961767287679;0.17857142857142855;2017-11-15 06:21:55.056477
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-15 08:10:40.857994
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-15 08:18:35.687375
dt;0.791247707582369;0.8192368688155633;0.791247707582369;0.8014953724997655;0.3101482957060646;2017-11-15 08:18:49.390480
rf;0.8508979953203061;0.8579187947192273;0.8508979953203061;0.8569847479654891;0.2027682919117182;2017-11-15 08:20:23.619287
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-15 08:21:57.810797
cm;0.862826471890217;0.8645789330805014;0.862826471890217;0.8637012587867847;0.17495098969202555;2017-11-15 08:33:14.569978
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-15 11:27:24.145712
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-15 11:35:32.588087
dt;0.7956349206349207;0.8243512452809447;0.7956349206349207;0.8063304805919937;0.27976190476190477;2017-11-15 11:35:51.511912
rf;0.860834440017707;0.8688086381239694;0.860834440017707;0.8659032155608075;0.20077626003920823;2017-11-15 11:37:33.742777
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-15 11:39:12.365860
cm;0.864810598874344;0.8652559711135198;0.864810598874344;0.8650331542328098;0.1752988047808765;2017-11-15 11:50:43.887373
nv;0.8107569721115537;0.8145630976494458;0.8107569721115537;0.8126470625497041;0.2729083665338645;2017-11-15 12:45:59.285688
svm;0.8412698412698413;0.8467619820722943;0.8412698412698413;0.8440069692901873;0.21272054638588503;2017-11-15 12:54:23.044552
dt;0.7992158350724088;0.8186594438283548;0.7992158350724088;0.8094302096798953;0.2876984126984127;2017-11-15 12:54:37.995959
rf;0.8489138683361791;0.8567364490166205;0.8489138683361791;0.8507833508986005;0.19681591095933726;2017-11-15 12:56:19.932739
rl;0.8429456776070322;0.845035077495695;0.8429456776070322;0.8429770605350896;0.20634920634920634;2017-11-15 12:58:03.573815
cm;0.864810598874344;0.8663122379987678;0.864810598874344;0.865560766363614;0.18452380952380953;2017-11-15 13:10:50.905175
